title,season,total_episodes,watched_episodes,date_watched,rating,note
13 Reasons Why,1,13,13,2022-08-18,,
13 Reasons Why,2,13,13,2022-08-18,,
A Series of Unfortunate Events,1,8,8,2022-12-12,,
A Series of Unfortunate Events,2,10,10,2022-12-12,,
A Series of Unfortunate Events,3,7,7,2022-12-12,,
Amici di Maria De Filippi,1,,0,,,
Andor,1,,0,,,
Archer (2009),1,10,6,2022-08-18,,
Assassination Classroom,1,,0,,,
Attack on Titan,0,,8,2022-08-19,,
Attack on Titan,1,25,25,2022-08-19,,
Attack on Titan,2,12,12,2022-08-19,,
Atypical,1,8,8,2022-09-22,,
Atypical,2,10,10,2022-09-22,,
Atypical,3,10,10,2022-09-22,,
Atypical,4,10,10,2022-09-22,,
Big Mouth,1,10,10,2022-08-18,,
Big Mouth,2,10,10,2022-08-18,,
Big Mouth,3,10,6,2022-08-18,,
Black Mirror,3,6,1,2023-08-27,,
Black Mirror,5,3,1,2023-08-27,,
Black Mirror,6,5,2,2023-08-27,,
BoJack Horseman,0,1,1,2022-08-18,,
BoJack Horseman,1,12,12,2022-08-18,,
BoJack Horseman,2,12,12,2022-08-18,,
BoJack Horseman,3,12,12,2022-08-18,,
BoJack Horseman,4,12,4,2022-08-18,,
Boris,1,,0,,,
Breaking Bad,1,7,7,2025-11-15,,
Breaking Bad,2,13,13,2025-11-15,,
Breaking Bad,3,13,13,2025-11-15,,
Breaking Bad,4,13,13,2025-11-15,,
Breaking Bad,5,16,16,2025-11-15,,
Charlotte,1,,0,,,
Clarence (2014),1,,29,2022-08-18,,
Death Note,1,37,37,2022-08-19,,
Degrassi: Next Class,1,,0,,,
Disenchantment,1,10,20,2022-08-18,,
Disenchantment,2,10,20,2022-08-18,,
Due Spicci,1,8,8,2026-06-25,,
Easy,1,,0,,,
Everything Sucks!,1,10,10,2022-08-18,,
Final Space,1,10,10,2022-08-18,,
Glee,1,22,22,2022-08-18,,
Glee,2,22,22,2022-08-18,,
Glee,3,22,22,2022-08-18,,
Glee,4,22,22,2022-08-18,,
Glee,5,22,20,2022-08-18,,
Glee,6,13,13,2022-08-18,,
Gossip Girl,1,18,18,2022-08-18,,
Gossip Girl,2,25,25,2022-08-18,,
Gossip Girl,3,22,22,2022-08-18,,
Gossip Girl,4,22,22,2022-08-18,,
Gossip Girl,5,24,24,2022-08-18,,
Gossip Girl,6,10,10,2022-08-18,,
Grand Army,1,9,9,2022-08-18,,
Greenhouse Academy,1,,12,2022-08-18,,
Greenhouse Academy,2,,12,2022-08-18,,
Grey's Anatomy,0,,6,2022-09-15,,
Grey's Anatomy,1,9,9,2022-09-15,,
Grey's Anatomy,2,27,27,2022-09-15,,
Grey's Anatomy,3,25,25,2022-09-15,,
Grey's Anatomy,4,17,17,2022-09-15,,
Grey's Anatomy,5,25,24,2022-09-15,,
Grey's Anatomy,6,24,24,2022-09-15,,
Grey's Anatomy,7,22,22,2022-09-15,,
Grey's Anatomy,8,24,24,2022-09-15,,
Grey's Anatomy,9,24,24,2022-09-15,,
Grey's Anatomy,10,24,24,2022-09-15,,
Grey's Anatomy,11,25,25,2022-09-15,,
Grey's Anatomy,12,24,24,2022-09-15,,
Grey's Anatomy,13,24,24,2022-09-15,,
Grey's Anatomy,14,24,24,2022-09-15,,
Grey's Anatomy,15,25,25,2022-09-15,,
Grey's Anatomy,16,21,21,2022-09-15,,
Grey's Anatomy,17,17,17,2022-09-15,,
Grey's Anatomy,18,20,20,2022-09-15,,
How to Sell Drugs Online (Fast),1,6,6,2023-02-19,,
How to Sell Drugs Online (Fast),2,6,6,2023-02-19,,
How to Sell Drugs Online (Fast),3,6,6,2023-02-19,,
Human Resources (2022),1,,0,,,
Hyouka,1,,0,,,
Il Collegio,1,8,4,2024-09-19,,
Il Collegio,2,8,4,2024-09-19,,
Il Collegio,3,8,5,2024-09-19,,
Il Collegio,4,8,6,2024-09-19,,
Il Collegio,5,8,8,2024-09-19,,
Il Collegio,6,8,8,2024-09-19,,
Il Collegio,7,8,8,2024-09-19,,
Il Collegio,8,6,3,2024-09-19,,
Insatiable,1,,0,,,
Inside Job,1,,0,,,
LOL: Last One Laughing Italy,1,6,6,2022-08-22,,
LOL: Last One Laughing Italy,2,6,7,2022-08-22,,
"Love, Death & Robots",1,,0,,,
Lupin,1,5,10,2022-08-18,,
Lupin III,1,,6,2022-08-19,,
Malcolm in the Middle,1,,0,,,
Manifest,1,,0,,,
Money Heist,1,13,15,2022-08-18,,
Money Heist,2,9,16,2022-08-18,,
Money Heist,3,8,10,2022-08-18,,
Monster (2022),1,,0,,,
Monster Allergy,1,,0,,,
NANA,1,47,47,2022-08-18,,
Naruto,1,,0,,,
Never Have I Ever,1,10,10,2022-08-18,,
Nuova scena," 1",8,8,,,
Nuova scena," 2",8,8,,,
Nuova scena," 3",9,9,,,
Obi-Wan Kenobi,1,6,6,2022-08-22,,
One of Us Is Lying,1,,0,,,
Our Love Has Always Been 10 Centimeters Apart.,1,,0,,,
Ozark,1,10,10," 2026-02",,
Ozark,2,10,10," 2026-02",,
Ozark,3,10,10," 2026-03",,
Ozark,1,14,14," 2026-03",,
Painkiller,1,6,6,2023-08-24,,
Parasyte -the maxim-,1,24,24,2022-08-18,,
Parenthood (IT),1,,0,,,
Pretty Little Liars,1,,0,,,
Questo mondo non mi renderà cattivo,1,,6,2023-06-23,,
Rick and Morty,1,11,11,2022-08-18,,
Rick and Morty,2,10,10,2022-08-18,,
Rick and Morty,3,10,10,2022-08-18,,
Rick and Morty,4,10,10,2022-08-18,,
Riverdale,1,13,13,2022-08-18,,
SanPa: Sins of the Savior,1,,0,,,
Sex Education,1,8,8,2023-10-01,,
Sex Education,2,8,8,2023-10-01,,
Sex Education,3,8,8,2023-10-01,,
Sex Education,4,8,8,2023-10-01,,
South Park,1,13,1,2022-08-18,,
South Park,17,10,10,2022-08-18,,
South Park,18,10,10,2022-08-18,,
South Park,19,10,10,2022-08-18,,
South Park,20,10,10,2022-08-18,,
Squid Game,1,9,9,2022-08-18,,
Squid Game: The Challenge,1,10,10,2023-12-19,,
Squid Game: The Challenge,2,,9,2023-12-19,,
Star Wars Rebels,1,15,13,2022-12-30,,
Star Wars Rebels,2,22,20,2022-12-30,,
Star Wars Rebels,3,15,21,2022-12-30,,
Star Wars Rebels,4,16,16,2022-12-30,,
Star Wars: Tales of the Jedi,1,,0,,,
Star Wars: The Bad Batch,1,16,16,2025-04-23,,
Star Wars: The Bad Batch,2,16,16,2025-04-23,,
Star Wars: The Bad Batch,3,16,15,2025-04-23,,
Star Wars: The Clone Wars,1,22,22,2023-01-20,,
Star Wars: The Clone Wars,2,22,22,2023-01-20,,
Star Wars: The Clone Wars,3,22,22,2023-01-20,,
