title,type,date_watched,rating,note,status
The Astronaut,Film,2026-06-29,,,
Un bel giorno,Film,2026-06-23,,,
Fight Club,Film,2026-06-23,,,
American Sniper,Film,2026-06-17,,,
The Amazing Spider-Man 2,Film,2026-03-16,,,
The Amazing Spider-Man,Film,2026-03-16,,,
Stowaway,Film,2026-03-03,,,
Sweet Home Alabama,Film,2026-01-31,,,
Era Ora,Film,2026-01-24,,,
El Camino: A Breaking Bad Movie,Film,2026-01-03,,,
10 giorni con i suoi,Film,2025-08-16,,,
28 Weeks Later,Film,2025-08-16,,,
Superman,Film,2025-07-17,,,
Io sono la fine del mondo,Film,2025-07-11,,,
Hurry Up Tomorrow,Film,2025-06-25,,,
High School Musical,Film,2025-06-21,,,
FolleMente,Film,2025-04-20,,,
A Minecraft Movie,Film,2025-04-20,,,
Whatsoeverly,Film,2025-04-18,,,
Fatti vedere,Film,2025-02-15,,,
The Six Triple Eight,Film,2025-02-08,,,
The Matrix,Film,2025-01-19,,,
Dobbiamo stare vicini,Film,2025-01-11,,,
Diamanti,Film,2025-01-07,,,
El hoyo 2,Film,2025-01-06,,,
Wicked,Film,2024-12-26,,,
Terrifier 3,Film,2024-11-09,,,
Sole a catinelle,Film,2024-09-02,,,
Hammerharte Jungs,Film,2024-08-28,,,
Il grande giorno,Film,2024-08-25,,,
Deadpool & Wolverine,Film,2024-08-25,,,
Deadpool 2,Film,2024-08-01,,,
Dune: Part Two,Film,2024-07-30,,,
Lift,Film,2024-06-29,,,
El Buen Patrón,Film,2024-05-20,,,
Sisu,Film,2023-12-26,,,
The Hunger Games: The Ballad of Songbirds & Snakes,Film,2023-11-18,,,
君の膵臓をたべたい,Film,2023-09-02,,,
Captain Marvel,Film,2023-08-31,,,
Captain America: The First Avenger,Film,2023-08-28,,,
Inglourious Basterds,Film,2023-08-23,,,
Barbie,Film,2023-08-12,,,
Moulin Rouge!,Film,2023-06-05,,,
Spider-Man: Across the Spider-Verse,Film,2023-06-03,,,
Fast X,Film,2023-06-03,,,
The Imitation Game,Film,2023-05-08,,,
De Slag om de Schelde,Film,2023-05-03,,,
1917,Film,2023-05-02,,,
American Psycho,Film,2023-05-01,,,
Im Westen nichts Neues,Film,2023-04-29,,,
The Super Mario Bros. Movie,Film,2023-04-23,,,
Taxi Driver,Film,2023-04-23,,,
Pooh's Heffalump Movie,Film,2023-04-17,,,
Scream VI,Film,2023-03-12,,,
Scream,Film,2023-03-12,,,
The Man Who Knew Infinity,Film,2023-02-28,,,
Star Wars: The Clone Wars,Film,2022-12-31,,,
John Wick: Chapter 3 - Parabellum,Film,2022-12-30,,,
Avatar: The Way of Water,Film,2022-12-29,,,
Avatar,Film,2022-12-20,,,
Kung Fu Panda,Film,2022-11-30,,,
How the Grinch Stole Christmas,Film,2022-11-11,,,
Ice Age: Dawn of the Dinosaurs,Film,2022-11-11,,,
A Christmas Carol,Film,2022-11-11,,,
Jumping from High Places,Film,2022-11-11,,,
Chicken Run,Film,2022-11-11,,,
Hotel Transylvania,Film,2022-11-11,,,
Ice Age,Film,2022-11-11,,,
Cloudy with a Chance of Meatballs,Film,2022-11-11,,,
We're the Millers,Film,2022-11-11,,,
Batman v Superman: Dawn of Justice,Film,2022-10-22,,,
Hidden Figures,Film,2022-10-22,,,
Soul,Film,2022-10-22,,,
Shang-Chi and the Legend of the Ten Rings,Film,2022-10-22,,,
Ratatouille,Film,2022-10-02,,,
Deadpool,Film,2022-10-02,,,
Fantastic Beasts and Where to Find Them,Film,2022-10-02,,,
WALL·E,Film,2022-10-02,,,
The Lion King,Film,2022-10-02,,,
Siccità,Film,2022-10-02,,,
Suicide Squad,Film,2022-10-02,,,
Maleficent,Film,2022-10-02,,,
Frozen,Film,2022-10-02,,,
Frozen II,Film,2022-10-02,,,
Coco,Film,2022-10-02,,,
2 Fast 2 Furious,Film,2022-10-02,,,
Interstellar,Film,2022-10-02,,,
Inside Out,Film,2022-10-02,,,
Tangled,Film,2022-10-02,,,
Fantastic Beasts: The Crimes of Grindelwald,Film,2022-10-02,,,
Shrek,Film,2022-10-02,,,
Django Unchained,Film,2022-09-25,,,
The Truman Show,Film,2022-09-23,,,
Lucy,Film,2022-09-22,,,
Hacksaw Ridge,Film,2022-09-21,,,
Joker,Film,2022-09-04,,,
Finding Nemo,Film,2022-08-31,,,
Dune: Part One,Film,2022-08-31,,,
Snow White and the Seven Dwarfs,Film,2022-08-31,,,
Cinderella,Film,2022-08-31,,,
J’accuse,Film,2022-08-19,,,
The Wolf of Wall Street,Film,2022-08-19,,,
Cars,Film,2022-08-19,,,
Famo$o,Film,2022-08-19,,,
Fantozzi contro tutti,Film,2022-08-19,,,
Malati di sesso,Film,2022-08-19,,,
The Kissing Booth,Film,2022-08-19,,,
Un boss in salotto,Film,2022-08-19,,,
Cars 2,Film,2022-08-19,,,
Metti la nonna in freezer,Film,2022-08-19,,,
Cambio tutto!,Film,2022-08-19,,,
Figli,Film,2022-08-19,,,
10 giorni con Babbo Natale,Film,2022-08-19,,,
Garage Olimpo,Film,2022-08-19,,,
The Current War,Film,2022-08-19,,,
The Hunger Games: Mockingjay - Part 1,Film,2022-08-18,,,
Harry Potter and the Half-Blood Prince,Film,2022-08-18,,,
Despicable Me 2,Film,2022-08-18,,,
Harry Potter and the Philosopher's Stone,Film,2022-08-18,,,
Poli opposti,Film,2022-08-18,,,
Accepted,Film,2022-08-18,,,
Harry Potter and the Deathly Hallows: Part 2,Film,2022-08-18,,,
Modo Avião,Film,2022-08-18,,,
300,Film,2022-08-18,,,
Spider-Man 3,Film,2022-08-18,,,
Cars 3,Film,2022-08-18,,,
Scary Movie,Film,2022-08-18,,,
Vacanze ai Caraibi - Il film di Natale,Film,2022-08-18,,,
Despicable Me 3,Film,2022-08-18,,,
Sulla mia pelle,Film,2022-08-18,,,
