title,date_watched,rating,note,status
10 giorni con Babbo Natale,2022-08-19,,,
10 giorni con i suoi,2025-08-16,,,
1917,2023-05-02,,,
2 Fast 2 Furious,2022-10-02,,,
21,2022-08-18,,,
28 Weeks Later,2025-08-16,,,
300,2022-08-18,,,
8 Mile,2022-08-18,,,
A Christmas Carol,2022-11-11,,,
A Minecraft Movie,2025-04-20,,,
Accepted,2022-08-18,,,
American Psycho,2023-05-01,,,
American Sniper,2026-06-17,,,
Arrivano i prof,2022-08-18,,,
Avatar,2022-12-20,,,
Avatar: The Way of Water,2022-12-29,,,
Barbie,2023-08-12,,,
Batman v Superman: Dawn of Justice,2022-10-22,,,
Blended,2022-08-18,,,
Brothers,
Cam,2022-08-18,,,
Cambio tutto!,2022-08-19,,,
Captain America: The First Avenger,2023-08-28,,,
Captain Marvel,2023-08-31,,,
Cars,2022-08-19,,,
Cars 2,2022-08-19,,,
Cars 3,2022-08-18,,,
Chicken Run,2022-11-11,,,
Cinderella,2022-08-31,,,
Cloudy with a Chance of Meatballs,2022-11-11,,,
Coach Carter,2022-08-18,,,
Coco,2022-10-02,,,
De Slag om de Schelde,2023-05-03,,,
Deadpool,2022-10-02,,,
Deadpool & Wolverine,2024-08-25,,,
Deadpool 2,2024-08-01,,,
Despicable Me,2022-08-18,,,
Despicable Me 2,2022-08-18,,,
Despicable Me 3,2022-08-18,,,
Diamanti,2025-01-07,,,
Dinner for Schmucks,2022-08-18,,,
Django Unchained,2022-09-25,,,
Dobbiamo stare vicini,2025-01-11,,,
Dune: Part One,2022-08-31,,,
Dune: Part Two,2024-07-30,,,
Dunkirk,2022-08-18,,,
El Buen Patrón,2024-05-20,,,
El Camino: A Breaking Bad Movie,2026-01-03,,,
El fotógrafo de Mauthausen,2022-08-18,,,
El hoyo,2022-08-18,,,
El hoyo 2,2025-01-06,,,
Era Ora,2026-01-24,,,
Famo$o,2022-08-19,,,
Fantastic Beasts and Where to Find Them,2022-10-02,,,
Fantastic Beasts: The Crimes of Grindelwald,2022-10-02,,,
Fantozzi contro tutti,2022-08-19,,,
Fast X,2023-06-03,,,
Fatti vedere,2025-02-15,,,
Fight Club,2026-06-23,,,
Figli,2022-08-19,,,
Finding Nemo,2022-08-31,,,
Flatliners,2022-08-18,,,
FolleMente,2025-04-20,,,
Frozen,2022-10-02,,,
Frozen II,2022-10-02,,,
