title,season,total_episodes,watched_episodes,confidence
13 Reasons Why,1,13,13,V
13 Reasons Why,2,13,13,V
3 Body Problem,1,8,8,V
A Series of Unfortunate Events,1,8,8,V
A Series of Unfortunate Events,2,10,10,V
A Series of Unfortunate Events,3,7,7,V
Archer (2009),1,10,6,V
Attack on Titan,0,,8,?
Attack on Titan,1,25,25,V
Attack on Titan,2,12,12,V
Atypical,1,8,8,K
Atypical,2,10,10,K
Atypical,3,10,10,K
Atypical,4,10,10,K
Better Call Saul,1,10,10,K
Better Call Saul,2,10,10,K
Better Call Saul,3,10,10,K
Better Call Saul,4,10,10,K
Better Call Saul,5,10,10,K
Better Call Saul,6,13,13,K
Big Mouth,1,10,10,K
Big Mouth,2,10,10,K
Big Mouth,3,10,6,K
Black Mirror,3,6,1,K
Black Mirror,5,3,1,K
Black Mirror,6,5,2,K
BoJack Horseman,0,1,1,V
BoJack Horseman,1,12,12,K
BoJack Horseman,2,12,12,K
BoJack Horseman,3,12,12,K
BoJack Horseman,4,12,4,K
Breaking Bad,1,7,7,V
Breaking Bad,2,13,13,V
Breaking Bad,3,13,13,V
Breaking Bad,4,13,13,V
Breaking Bad,5,16,16,V
Clarence (2014),1,,29,?
Death Note,1,37,37,K
Disenchantment,1,10,20,K
Disenchantment,2,10,20,K
Everything Calls for Salvation,1,,7,?
Everything Calls for Salvation,2,,5,?
Everything Sucks!,1,10,10,K
Fading Gigolo,1,,2,?
Final Space,1,10,10,K
Glee,1,22,22,K
Glee,2,22,22,K
Glee,3,22,22,K
Glee,4,22,22,K
Glee,5,22,20,K
Glee,6,13,13,K
Gossip Girl,1,18,18,K
Gossip Girl,2,25,25,K
Gossip Girl,3,22,22,K
Gossip Girl,4,22,22,K
Gossip Girl,5,24,24,K
Gossip Girl,6,10,10,K
Grand Army,1,9,9,K
Greenhouse Academy,1,10,12,?
Greenhouse Academy,2,10,12,?
Grey's Anatomy,0,,6,?
Grey's Anatomy,1,9,9,K
Grey's Anatomy,2,27,27,K
Grey's Anatomy,3,25,25,K
Grey's Anatomy,4,17,17,K
Grey's Anatomy,5,25,24,K
Grey's Anatomy,6,24,24,K
Grey's Anatomy,7,22,22,K
Grey's Anatomy,8,24,24,K
Grey's Anatomy,9,24,24,K
Grey's Anatomy,10,24,24,K
Grey's Anatomy,11,25,25,K
Grey's Anatomy,12,24,24,K
Grey's Anatomy,13,24,24,K
Grey's Anatomy,14,24,24,K
Grey's Anatomy,15,25,25,K
Grey's Anatomy,16,21,21,K
Grey's Anatomy,17,17,17,K
Grey's Anatomy,18,20,20,K
How to Sell Drugs Online (Fast),1,6,6,K
How to Sell Drugs Online (Fast),2,6,6,K
How to Sell Drugs Online (Fast),3,6,6,K
Il Collegio,1,8,4,V
Il Collegio,2,8,4,?
Il Collegio,3,8,5,?
Il Collegio,4,8,6,?
Il Collegio,5,8,8,?
Il Collegio,6,8,8,?
Il Collegio,7,8,8,V
Il Collegio,8,6,3,V
LOL: Last One Laughing Italy,1,6,6,?
LOL: Last One Laughing Italy,2,6,7,?
Lupin,1,5,10,K
Lupin III,1,,6,?
Money Heist,1,13,15,K
Money Heist,2,9,16,K
Money Heist,3,8,10,K
My 2 Cents,1,,8,?
NANA,1,47,47,K
Never Have I Ever,1,10,10,K
Nuova Scena - Rhythm + Flow Italia,1,,8,?
Nuova Scena - Rhythm + Flow Italia,2,,8,?
Obi-Wan Kenobi,1,6,6,K
Ozark,1,10,10,K
Ozark,2,10,10,K
Ozark,3,10,10,K
Ozark,4,14,14,K
Painkiller,1,6,6,K
Parasyte -the maxim-,1,24,24,K
Rick and Morty,1,11,11,K
Rick and Morty,2,10,10,K
Rick and Morty,3,10,10,K
Rick and Morty,4,10,10,K
Riverdale,1,13,13,K
Sex Education,1,8,8,K
Sex Education,2,8,8,K
Sex Education,3,8,8,K
Sex Education,4,8,8,K
South Park,1,13,1,K
South Park,17,10,10,K
South Park,18,10,10,K
South Park,19,10,10,K
South Park,20,10,10,K
Squid Game,1,9,9,K
Squid Game: The Challenge,1,10,10,K
Squid Game: The Challenge,2,,9,?
Star Wars Rebels,1,15,13,K
Star Wars Rebels,2,22,20,K
Star Wars Rebels,3,15,21,K
Star Wars Rebels,4,16,16,K
Star Wars: The Bad Batch,1,16,16,K
Star Wars: The Bad Batch,2,16,16,K
Star Wars: The Bad Batch,3,16,15,K
Star Wars: The Clone Wars,1,22,22,K
Star Wars: The Clone Wars,2,22,22,K
Star Wars: The Clone Wars,3,22,22,K
Star Wars: The Clone Wars,4,22,22,K
Star Wars: The Clone Wars,5,20,20,K
Star Wars: The Clone Wars,6,13,13,K
Star Wars: The Clone Wars,7,12,12,K
Station 19,1,10,10,K
Station 19,2,17,17,K
Tear Along the Dotted Line,1,6,6,K
Teenage Bounty Hunters,1,10,10,K
The Big Bang Theory,1,17,17,K
The Big Bang Theory,2,23,23,K
The Big Bang Theory,3,23,23,K
The Big Bang Theory,4,24,24,K
The Big Bang Theory,5,24,24,K
The Big Bang Theory,6,24,24,K
The Big Bang Theory,7,24,24,K
The Big Bang Theory,8,24,24,K
The Big Bang Theory,9,24,24,K
The Big Bang Theory,10,24,24,K
The Big Bang Theory,11,24,24,K
The Big Bang Theory,12,24,24,K
The Book of Boba Fett,1,7,7,K
The Boys,1,8,8,K
The End of the F***ing World,1,8,8,K
The End of the F***ing World,2,8,8,K
The Idol (2023),1,5,5,K
The Madness,1,8,8,?
The Man in the High Castle,1,10,10,K
The Man in the High Castle,2,10,6,K
The Mandalorian,1,8,8,K
The Mandalorian,2,8,8,K
The Mandalorian,3,8,8,K
The Midnight Gospel,1,8,8,K
The Queen's Gambit,1,7,7,K
The Seven Deadly Sins,0,,2,?
The Seven Deadly Sins,1,24,24,K
The Simpsons,1,13,13,K
The Simpsons,2,22,22,K
The Simpsons,3,24,24,K
The Simpsons,4,22,22,K
The Simpsons,5,22,22,K
The Simpsons,6,25,17,K
The Way of the Househusband (2021),1,,10,?
This World Can’t Tear Me Down,1,,6,?
Toradora!,1,25,25,K
Total Drama,1,26,27,?
Total Drama,2,26,27,?
Total Drama,3,26,26,?
Trinkets,1,10,10,K
Trinkets,2,10,10,K
Tutta colpa di Freud - La serie,1,,8,?
Vatican Girl: The Disappearance of Emanuela Orlandi,1,4,4,K
You,1,10,10,K
You,2,10,10,K
You,3,10,10,K
You,4,10,10,K
Your Lie in April,1,22,17,K
